,time,fights_f1,win_proportion_f2,height_diff,reach_diff,outcome
2725,87,7.0,0.375,-6.0,-1.0,0.0
2726,300,8.0,0.375,-3.0,1.0,1.0
2727,300,4.0,0.375,-6.0,-2.0,0.0
2728,230,9.0,0.375,-4.0,-2.0,1.0
2729,287,10.0,0.375,-5.0,-3.0,0.0
2731,17,1.0,0.75,-1.0,-1.0,0.0
2732,300,3.0,0.75,1.0,-2.0,1.0
2733,245,10.0,0.75,4.0,6.0,1.0
2734,300,8.0,0.6666666666666666,-1.0,1.0,1.0
2735,291,6.0,0.6666666666666666,-1.0,0.0,0.0
2736,300,7.0,0.6666666666666666,-2.0,-1.0,1.0
2737,300,2.0,0.6666666666666666,-5.0,0.0,0.0
2738,300,12.0,0.6666666666666666,0.0,0.0,1.0
2739,300,3.0,0.6666666666666666,0.0,-2.0,1.0
2740,205,3.0,0.5,3.0,2.0,1.0
2741,269,2.0,0.5,-1.0,-3.0,1.0
2742,300,4.0,0.5,0.0,-1.0,0.0
2743,300,7.0,0.5,0.0,-3.0,0.0
2744,72,1.0,1.0,-4.0,0.0,1.0
2745,300,6.0,1.0,-2.0,-3.0,1.0
2746,300,4.0,1.0,0.0,1.0,1.0
2747,300,6.0,0.6666666666666666,4.0,1.0,1.0
2748,300,4.0,0.6666666666666666,3.0,1.0,0.0
2749,300,4.0,0.6666666666666666,2.0,-1.0,1.0
2751,300,1.0,1.0,1.0,1.0,1.0
2752,300,6.0,1.0,5.0,3.0,1.0
2753,79,5.0,0.6,2.0,-2.0,1.0
2754,300,9.0,0.6,3.0,2.0,1.0
2755,120,12.0,0.6,5.0,1.0,0.0
2756,278,5.0,0.6,1.0,-1.0,0.0
2757,300,4.0,0.6,3.0,-2.0,1.0
2758,149,5.0,1.0,0.0,-3.0,1.0
2759,216,7.0,1.0,1.0,-2.0,1.0
2760,300,5.0,1.0,1.0,-1.0,1.0
2761,106,8.0,1.0,-1.0,-2.0,1.0
2762,300,12.0,1.0,3.0,-1.0,1.0
2763,300,3.0,1.0,2.0,8.0,1.0
2764,300,5.0,1.0,6.0,7.0,1.0
2765,161,9.0,0.6,-3.0,-5.0,1.0
2766,137,3.0,0.6,-1.0,-8.0,0.0
2767,64,3.0,0.6,0.0,-4.0,1.0
2768,179,1.0,0.6,-1.0,-6.0,0.0
2769,300,7.0,0.6,-4.0,-7.0,1.0
2770,300,7.0,1.0,-2.0,-2.0,1.0
2771,279,4.0,1.0,1.0,-3.0,1.0
2772,300,4.0,1.0,-1.0,0.0,1.0
2773,162,3.0,0.5,1.0,3.0,1.0
2774,62,9.0,0.5,-6.0,-8.0,1.0
2775,300,1.0,0.5,-1.0,-1.0,0.0
2776,300,1.0,0.5,-1.0,-2.0,0.0
2777,300,2.0,0.0,3.0,-2.0,0.0
2778,300,5.0,0.0,-2.0,-5.0,0.0
2779,300,4.0,0.0,-1.0,0.0,0.0
2780,300,7.0,0.42857142857142855,0.0,-1.0,0.0
2781,300,6.0,0.42857142857142855,0.0,-2.0,1.0
2782,300,4.0,0.42857142857142855,3.0,0.0,0.0
2783,300,10.0,0.42857142857142855,0.0,-2.0,1.0
2784,300,3.0,0.42857142857142855,-1.0,-1.0,0.0
2785,288,10.0,0.42857142857142855,-1.0,-3.0,1.0
2786,300,5.0,0.42857142857142855,-1.0,-2.0,0.0
2787,218,18.0,1.0,2.0,2.0,1.0
2788,107,4.0,0.5,1.0,0.0,1.0
2789,59,1.0,0.5,5.0,2.0,0.0
2790,113,7.0,0.5,0.0,4.0,1.0
2791,61,1.0,0.5,-3.0,0.0,0.0
2792,300,1.0,0.5,-4.0,2.0,0.0
2793,132,9.0,0.5,0.0,0.0,1.0
2794,93,1.0,0.8,3.0,1.0,1.0
2795,162,3.0,0.8,5.0,6.0,1.0
2796,156,9.0,0.8,3.0,1.0,1.0
2797,300,7.0,0.8,4.0,5.0,0.0
2798,121,5.0,0.8,4.0,3.0,1.0
2799,98,3.0,0.5,0.0,-1.0,0.0
2800,40,2.0,0.5,1.0,-4.0,1.0
2801,300,6.0,0.5,1.0,1.0,1.0
2802,173,1.0,0.5,0.0,-3.0,0.0
2803,300,4.0,0.5,1.0,0.0,1.0
2805,300,27.0,0.2,-2.0,-1.0,0.0
2806,300,5.0,0.2,4.0,1.0,0.0
2807,246,4.0,0.2,-3.0,-1.0,1.0
2808,217,4.0,0.2,0.0,-4.0,0.0
2809,300,4.0,0.2,3.0,3.0,0.0
2810,300,6.0,0.0,4.0,6.0,0.0
2811,300,1.0,1.0,0.0,-1.0,1.0
2812,300,4.0,1.0,4.0,6.0,1.0
2813,300,17.0,0.5555555555555556,-1.0,1.0,1.0
2814,60,11.0,0.5555555555555556,0.0,0.0,0.0
2815,231,9.0,0.5555555555555556,0.0,-1.0,1.0
2816,300,17.0,0.5555555555555556,-1.0,1.0,1.0
2817,44,6.0,0.5555555555555556,0.0,3.0,1.0
2818,300,8.0,0.5555555555555556,-2.0,0.0,0.0
2819,195,3.0,0.5555555555555556,1.0,-1.0,0.0
2820,300,7.0,0.5555555555555556,0.0,4.0,1.0
2821,300,1.0,0.5555555555555556,-3.0,-4.0,0.0
2822,126,6.0,0.3333333333333333,4.0,6.0,1.0
2823,141,2.0,0.3333333333333333,4.0,6.0,0.0
2824,67,7.0,0.3333333333333333,2.0,5.0,0.0
2825,300,13.0,1.0,-1.0,1.0,1.0
2826,299,8.0,1.0,2.0,-1.0,1.0
2827,121,8.0,1.0,1.0,1.0,1.0
2828,300,5.0,1.0,-2.0,0.0,1.0
2829,300,2.0,1.0,1.0,0.0,1.0
2830,156,6.0,1.0,-1.0,-3.0,1.0
2831,252,6.0,1.0,1.0,3.0,1.0
2832,300,3.0,1.0,-2.0,1.0,1.0
2833,255,5.0,1.0,-1.0,-2.0,1.0
2834,119,3.0,1.0,1.0,0.0,1.0
