,outcome,round_x,time,L_f1,W_f1,fights_f1,L_f2,W_f2,fights_f2,height_x,reach_x,height_y,reach_y,kd,subatt,rev,ctrl,sigster_throw,sigster_land,total_str_throw,total_str_land,td_throw,td_land,head_throw,head_land,body_throw,body_land,leg_throw,leg_land,distance_throw,distance_land,clinch_throw,clinch_land,ground_throw,ground_land,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,method_dec_spl,method_dec_una,method_dq,method_ko_tko,method_sub,method_tko_doc,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
0,0.0,5,300,1.0,4.0,5.0,2.0,3.0,5.0,74.0,76.0,75.0,75.0,0.14181818181818182,-0.07090909090909087,0.09090909090909091,40.19272727272727,-9.596363636363638,-9.06545454545455,-6.145454545454548,-4.310909090909092,0.1290909090909091,0.12,-6.627272727272728,-6.232727272727274,-2.709090909090909,-2.8600000000000003,-0.2599999999999998,0.027272727272726893,-5.410909090909092,-4.709090909090911,-2.583636363636364,-1.7400000000000002,-1.6018181818181818,-2.616363636363637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1.0,5,300,1.0,5.0,6.0,2.0,3.0,5.0,73.0,76.0,75.0,75.0,0.05090909090909091,-0.4193939393939394,0.0,-21.32242424242424,6.630909090909089,27.64666666666667,3.642424242424241,23.658787878787876,-0.0072727272727273196,-0.45575757575757575,9.206060606060605,30.327878787878788,-1.2696969696969695,-1.3448484848484847,-1.3054545454545452,-1.3363636363636366,10.619393939393937,32.124242424242425,-2.6290909090909094,-2.6036363636363635,-1.3593939393939394,-1.8739393939393945,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2,0.0,2,292,2.0,3.0,5.0,2.0,3.0,5.0,74.0,74.0,75.0,75.0,0.11789473684210525,-0.32210526315789473,0.05263157894736842,4.235789473684214,-9.170526315789475,-15.414736842105267,-13.442105263157897,-21.088421052631578,0.29894736842105263,0.5936842105263157,-5.926315789473685,-11.170526315789473,-1.3789473684210525,-2.0442105263157897,-1.8652631578947365,-2.2,-7.109473684210526,-13.536842105263158,-0.9831578947368422,-0.7663157894736843,-1.0778947368421052,-1.1115789473684217,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3,1.0,3,300,4.0,3.0,7.0,2.0,3.0,5.0,72.0,77.0,75.0,75.0,0.11384615384615385,-0.40307692307692305,0.0,35.07384615384616,1.9630769230769225,-1.1353846153846163,9.707692307692305,7.510769230769235,0.3353846153846154,0.5815384615384614,1.138461538461538,-1.8061538461538476,1.430769230769231,1.3323076923076922,-0.606153846153846,-0.6615384615384619,2.833846153846153,-0.3384615384615408,-0.48923076923076936,0.06769230769230727,-0.3815384615384616,-0.864615384615385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,0.0,3,300,1.0,0.0,1.0,2.0,3.0,5.0,73.0,75.0,75.0,75.0,-0.04,-0.48,0.0,-10.079999999999998,-8.96,-3.9200000000000017,-7.800000000000001,-2.519999999999996,-0.08000000000000002,0.12,-4.800000000000001,1.240000000000002,-3.1999999999999997,-3.7600000000000002,-0.9599999999999997,-1.4000000000000001,-4.120000000000001,2.1999999999999993,-1.9200000000000002,-1.6400000000000001,-2.92,-4.48,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5,1.0,1,73,1.0,4.0,5.0,4.0,0.0,4.0,74.0,76.0,75.0,76.0,0.18181818181818182,-0.01948051948051943,-0.05194805194805194,-29.512987012987026,-0.6363636363636367,4.88311688311688,-2.688311688311689,2.694805194805191,-0.2337662337662338,-1.7142857142857144,-1.441558441558441,2.870129870129869,0.09090909090909083,0.7857142857142856,0.7142857142857142,1.227272727272727,0.6948051948051948,6.09090909090909,-0.6493506493506493,0.2857142857142856,-0.6818181818181819,-1.4935064935064937,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
6,1.0,3,300,4.0,3.0,7.0,4.0,0.0,4.0,72.0,77.0,75.0,76.0,0.15384615384615385,-0.3516483516483516,-0.14285714285714285,-34.63186813186813,10.923076923076923,12.813186813186814,13.164835164835164,14.516483516483518,-0.027472527472527486,-1.252747252747253,6.324175824175825,7.296703296703296,4.230769230769231,4.978021978021978,0.36813186813186793,0.5384615384615383,8.93956043956044,10.46153846153846,1.445054945054945,2.093406593406593,0.5384615384615383,0.2582417582417582,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7,1.0,2,165,3.0,6.0,9.0,4.0,0.0,4.0,73.0,75.0,75.0,76.0,0.17073170731707318,-0.4041811846689895,-0.11846689895470383,-48.736933797909415,3.8780487804878057,8.891986062717766,-1.7038327526132413,1.2369337979094084,-0.15505226480836243,-0.6898954703832754,2.3222996515679455,6.6794425087108,2.3902439024390247,2.9198606271777,-0.8344947735191639,-0.7073170731707317,0.8344947735191646,4.73170731707317,2.409407665505227,3.7613240418118465,0.6341463414634148,0.39895470383275233,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
8,1.0,3,300,1.0,6.0,7.0,4.0,0.0,4.0,74.0,75.0,75.0,76.0,0.1111111111111111,0.05291005291005291,0.19047619047619047,-35.489417989418,3.8888888888888893,4.539682539682538,-0.4761904761904745,-1.7142857142857153,-0.27248677248677255,-2.0105820105820107,1.2671957671957674,1.8835978835978828,2.037037037037037,2.1005291005291005,0.5846560846560844,0.5555555555555554,3.0820105820105823,3.518518518518519,-0.7486772486772488,-0.732804232804233,1.5555555555555554,1.7539682539682535,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,1.0,3,300,1.0,4.0,5.0,2.0,0.0,2.0,74.0,76.0,73.0,75.0,0.18181818181818182,0.0757575757575758,0.09090909090909091,62.050505050505045,-5.525252525252526,-13.323232323232325,-0.8787878787878789,-7.813131313131315,-0.14646464646464646,0.2222222222222222,-2.8939393939393936,-10.717171717171716,-0.797979797979798,-1.0555555555555554,-1.833333333333333,-1.5505050505050506,-5.090909090909092,-13.131313131313131,-0.08585858585858586,0.16666666666666652,-0.3484848484848486,-0.3585858585858588,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
10,1.0,3,300,3.0,7.0,10.0,2.0,0.0,2.0,75.0,76.0,73.0,75.0,0.12903225806451613,-0.3333333333333333,0.0,-5.060931899641577,7.627240143369175,11.286738351254478,6.731182795698928,8.874551971326163,-0.45878136200716846,-0.2939068100358423,6.559139784946238,9.878136200716845,0.8530465949820787,0.8637992831541217,0.2150537634408609,0.5448028673835124,8.483870967741936,12.810035842293907,0.5519713261648744,0.11827956989247301,-1.4086021505376345,-1.6415770609318998,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
11,1.0,3,300,1.0,4.0,5.0,4.0,1.0,5.0,74.0,76.0,73.0,71.0,0.18181818181818182,0.4090909090909091,0.09090909090909091,66.38383838383838,-4.191919191919194,-17.21212121212121,1.8434343434343425,-8.868686868686872,0.13131313131313133,-0.05555555555555558,-3.2272727272727275,-14.82828282828283,-1.9090909090909092,-3.8888888888888893,0.9444444444444444,1.5050505050505047,-5.813131313131313,-20.18686868686869,0.3585858585858587,1.2222222222222223,1.2626262626262625,1.7525252525252524,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
12,1.0,3,300,7.0,9.0,16.0,4.0,1.0,5.0,74.0,75.0,73.0,71.0,0.171875,0.046875,0.0625,14.45486111111111,6.022569444444443,-2.7604166666666643,10.93576388888889,2.1128472222222214,0.06597222222222221,-0.24305555555555558,2.78125,-5.524305555555557,2.28125,1.7517361111111107,0.9600694444444444,1.0121527777777777,1.5590277777777786,-8.715277777777779,2.3472222222222223,2.8940972222222223,2.1163194444444446,3.060763888888889,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
13,0.0,3,300,5.0,5.0,10.0,4.0,1.0,5.0,69.0,70.0,73.0,71.0,0.2,0.09230769230769231,0.03076923076923077,5.588034188034186,0.4598290598290582,-7.9282051282051285,2.5888888888888886,-5.600854700854704,-0.062393162393162394,-0.7017094017094017,-2.2461538461538453,-9.509401709401711,-1.6923076923076925,-4.311965811965813,4.398290598290599,5.893162393162393,-2.3837606837606824,-13.016239316239314,1.1606837606837606,1.9222222222222225,1.682905982905983,3.1658119658119657,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
14,1.0,3,300,0.0,2.0,2.0,4.0,1.0,5.0,74.0,80.0,73.0,71.0,0.0,0.0,0.0,13.346405228758169,-3.555555555555557,-20.549019607843135,-4.846405228758169,-22.16013071895425,0.13398692810457513,0.06209150326797386,-3.647058823529412,-19.08496732026144,0.35294117647058787,-1.3300653594771248,-0.261437908496732,-0.13398692810457535,-5.310457516339868,-22.866013071895427,1.8104575163398695,2.369281045751634,-0.05555555555555555,-0.0522875816993464,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
15,1.0,3,300,1.0,2.0,3.0,4.0,1.0,5.0,71.0,70.0,73.0,71.0,0.13043478260869565,0.0,0.0,-1.454106280193237,-1.0772946859903403,-18.362318840579707,-1.741545893719806,-19.147342995169083,0.11352657004830918,-0.09903381642512077,-2.391304347826088,-17.99033816425121,0.3913043478260869,-1.3019323671497585,0.9227053140096617,0.9299516908212557,-3.1570048309178738,-21.27777777777778,0.3961352657004832,0.5048309178743962,1.683574879227053,2.4106280193236715,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
16,1.0,1,255,1.0,4.0,5.0,2.0,0.0,2.0,74.0,76.0,75.0,78.0,0.18181818181818182,0.3090909090909091,-0.009090909090909094,20.47272727272727,-4.036363636363635,-1.4454545454545453,0.35454545454545183,5.009090909090908,0.10909090909090913,0.0,-6.927272727272727,-5.972727272727273,1.0909090909090908,2.0,1.8,2.5272727272727273,-2.8909090909090924,-0.6090909090909093,-1.9636363636363636,-1.9000000000000004,0.8181818181818181,1.0636363636363635,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
17,1.0,3,119,0.0,3.0,3.0,2.0,0.0,2.0,76.0,78.0,75.0,78.0,0.2727272727272727,-0.009090909090909094,-0.1,10.836363636363643,0.5090909090909115,5.372727272727275,0.8090909090909086,5.781818181818181,0.4272727272727273,0.18181818181818188,-0.881818181818181,3.6636363636363676,0.6363636363636365,0.9545454545454546,0.7545454545454546,0.7545454545454546,-0.16363636363636402,5.209090909090907,-1.190909090909091,-1.9454545454545458,1.8636363636363638,2.1090909090909093,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
20,0.0,1,156,1.0,5.0,6.0,0.0,2.0,2.0,73.0,76.0,76.0,79.0,-0.07575757575757575,-0.0505050505050505,0.0,20.59090909090909,6.813131313131311,33.05555555555556,-0.14646464646464707,25.76767676767676,0.21717171717171715,0.36868686868686873,14.383838383838384,42.06565656565657,-3.5808080808080804,-3.6515151515151505,-3.98989898989899,-5.358585858585859,7.994949494949495,33.47979797979798,-1.9090909090909092,-1.9747474747474747,0.7272727272727272,1.5505050505050504,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
21,0.0,3,300,3.0,5.0,8.0,0.0,2.0,2.0,74.0,78.0,76.0,79.0,-0.06140350877192982,-0.005847953216374269,0.0,33.86842105263158,-6.093567251461989,-3.8304093567251485,-8.459064327485379,-6.312865497076025,0.2777777777777778,0.611111111111111,0.6900584795321638,4.3918128654970765,-3.742690058479532,-3.859649122807017,-3.04093567251462,-4.362573099415204,-6.032163742690058,-4.286549707602337,-1.1578947368421053,-1.0497076023391814,1.0964912280701755,1.5058479532163742,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
22,1.0,3,300,1.0,5.0,6.0,2.0,9.0,11.0,73.0,76.0,73.0,77.0,0.046464646464646465,0.03838383838383838,-0.08888888888888889,-37.17575757575758,14.368686868686869,34.72222222222223,3.3090909090909086,22.64545454545454,-0.14949494949494951,-0.6424242424242423,14.294949494949494,34.398989898989896,0.44141414141414126,0.48181818181818237,-0.3676767676767676,-0.1585858585858586,18.07272727272727,38.94646464646465,-2.7535353535353537,-3.496969696969697,-0.9505050505050505,-0.7272727272727275,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
23,0.0,3,300,5.0,5.0,10.0,2.0,9.0,11.0,75.0,77.0,73.0,77.0,-0.044444444444444446,0.34619883040935673,0.06900584795321636,-9.880701754385967,-1.7485380116959064,-9.391812865497073,-5.196491228070176,-12.943859649122807,0.47251461988304094,1.1964912280701754,-1.2584795321637436,-8.57309941520468,-0.08888888888888902,-0.32280701754385976,-0.40116959064327484,-0.49590643274853785,-0.7614035087719291,-7.819883040935672,-1.1076023391812866,-1.2385964912280705,0.12046783625731017,-0.3333333333333335,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24,0.0,3,300,3.0,6.0,9.0,2.0,9.0,11.0,73.0,75.0,73.0,77.0,0.12628726287262873,0.002168021680216802,-0.06449864498644986,5.115447154471539,2.6558265582655842,2.0189701897018963,-5.4943089430894325,-6.782113821138211,0.06558265582655826,0.9577235772357724,2.2254742547425472,1.647696476964768,1.3013550135501357,1.100813008130081,-0.8710027100271003,-0.7295392953929538,2.182113821138212,0.7539295392953917,0.3506775067750678,0.8422764227642272,0.12303523035230368,0.42276422764227606,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
25,0.0,3,300,3.0,6.0,9.0,2.0,9.0,11.0,73.0,78.0,73.0,77.0,0.025730994152046778,0.3286549707602339,-0.08888888888888889,18.25964912280702,-4.362573099415204,-9.11111111111111,-13.2140350877193,-18.978947368421053,0.22690058479532166,1.301754385964912,-2.5216374269005852,-6.502923976608187,-2.088888888888889,-2.901754385964912,0.24795321637426926,0.2935672514619885,-1.1473684210526311,-5.521637426900586,-2.791812865497076,-3.291228070175439,-0.4233918128654972,-0.29824561403508776,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
