,time,fights_f1,win_proportion_f2,height_diff,reach_diff,kd,ctrl,sigster_throw,sigster_land,total_str_throw,td_land,leg_throw,weightclass_hw,weightclass_lhw,weightclass_mw,weightclass_wbw,method_sub,method_tko_doc,round_x_5,stance_x_Orthodox,stance_y_Orthodox,outcome
35,101,6.0,0.5,-3.0,0.0,-0.2550607287449393,20.216599190283397,-0.3825910931174086,12.562753036437247,1.720647773279353,1.2510121457489878,0.6578947368421053,0,0,1,0,1,0,0,1,0,1.0
36,213,6.0,0.5,-3.0,-3.0,-0.3076923076923077,7.4055944055944,1.4475524475524466,12.615384615384617,3.56993006993007,1.0524475524475525,0.18181818181818188,0,0,1,0,0,0,0,0,0,0.0
37,277,5.0,0.5,-2.0,2.0,-0.3076923076923077,25.169230769230772,-2.328205128205129,-1.2512820512820504,-2.8512820512820483,2.8615384615384616,4.933333333333334,0,0,0,0,0,0,0,1,0,0.0
39,300,6.0,0.8,1.0,3.0,-0.07575757575757575,26.813131313131315,16.146464646464644,19.555555555555557,16.964646464646464,0.42424242424242425,-0.21212121212121215,0,0,1,0,0,0,0,1,1,1.0
40,72,5.0,0.8,2.0,1.0,-0.008771929824561403,52.37134502923977,0.345029239766081,-23.505847953216378,-0.11988304093567415,1.4736842105263157,-0.7719298245614036,0,0,1,0,1,0,0,1,1,1.0
41,300,4.0,0.8,1.0,1.0,-0.11403508771929824,44.687134502923975,-1.4970760233918128,-27.347953216374272,3.3011695906432728,0.5263157894736842,0.6491228070175439,0,0,1,0,0,0,0,0,1,1.0
42,270,7.0,0.8,2.0,6.0,-0.16666666666666666,130.77430555555554,-3.3819444444444446,-27.329861111111114,3.9722222222222214,2.71875,-0.35416666666666674,0,0,1,0,1,0,0,1,1,1.0
43,220,4.0,0.8,5.0,6.0,-0.08333333333333333,114.63888888888889,-3.1111111111111107,-30.361111111111114,17.305555555555554,1.1666666666666667,-0.25,0,0,1,0,0,0,0,1,1,0.0
48,281,5.0,1.0,6.0,-2.0,0.09907120743034055,-14.154798761609904,0.14241486068111442,-2.953560371517028,-4.547987616099073,0.1795665634674921,0.07120743034055732,0,0,1,0,0,0,0,1,1,1.0
49,29,7.0,1.0,7.0,-1.0,0.15992647058823528,13.810661764705884,3.7279411764705888,2.7536764705882355,8.169117647058822,-0.3253676470588236,1.4577205882352942,0,1,0,0,0,0,0,1,1,1.0
50,28,7.0,1.0,3.0,-4.0,0.29831932773109243,-50.32773109243698,5.495798319327731,10.29831932773109,1.9369747899159648,-0.865546218487395,-0.25210084033613445,0,0,1,0,0,0,0,0,1,1.0
51,38,5.0,0.5,4.0,1.0,0.15789473684210525,-31.85087719298246,2.6228070175438596,7.105263157894736,-4.175438596491228,0.30701754385964897,0.22807017543859653,0,0,1,0,0,0,0,1,1,1.0
52,238,2.0,0.5,1.0,2.0,0.15384615384615385,-78.47435897435898,-2.9358974358974352,3.0769230769230766,-9.948717948717947,-1.1666666666666667,1.2564102564102564,0,0,1,0,1,0,0,0,1,0.0
54,249,7.0,0.5,-2.0,1.0,-0.02797202797202797,-5.118881118881106,11.55944055944056,7.9300699300699335,15.853146853146853,0.46153846153846145,-0.34615384615384626,0,0,1,0,0,0,0,1,1,0.0
55,300,8.0,0.5,-2.0,-2.0,-0.08181818181818182,-36.8060606060606,0.4696969696969706,-7.621212121212121,-4.421212121212118,-0.33333333333333337,-1.5333333333333332,0,0,1,0,0,0,0,1,1,1.0
56,246,8.0,0.5,-1.0,1.0,-0.18181818181818182,-40.144522144522135,10.149184149184151,19.519813519813518,8.750582750582751,0.641025641025641,2.833333333333333,0,0,1,0,0,0,0,1,1,0.0
57,300,5.0,0.5,-2.0,-2.0,-0.16221033868092694,-25.017825311942957,10.303030303030305,18.19251336898396,9.604278074866311,0.21568627450980382,0.009803921568627416,0,0,1,0,0,0,0,0,1,1.0
58,267,7.0,0.3333333333333333,2.0,2.0,-0.0040485829959514,79.52226720647774,-2.708502024291498,-14.931174089068826,8.307692307692307,1.4615384615384615,0.31174089068825905,0,0,1,0,0,0,0,1,1,0.0
59,300,8.0,0.3333333333333333,3.0,2.0,-0.15789473684210525,44.496626180836714,-4.118758434547907,-3.3414304993252415,1.2051282051282044,1.641025641025641,3.4912280701754383,0,0,1,0,0,0,0,1,1,1.0
60,118,7.0,0.3333333333333333,4.0,0.0,-0.04678362573099415,78.66471734892787,-9.742690058479532,-23.2046783625731,-5.333333333333332,0.7037037037037037,0.5282651072124755,0,0,1,0,0,0,0,1,1,0.0
61,265,7.0,1.0,6.0,7.0,0.15384615384615385,2.72527472527473,2.280219780219781,-9.186813186813183,9.593406593406591,-1.1098901098901102,0.5824175824175823,0,0,1,0,0,0,0,1,1,1.0
62,133,5.0,1.0,7.0,7.0,0.07692307692307693,-32.1978021978022,-8.386446886446885,-18.956043956043953,-9.842490842490843,-1.1355311355311357,-0.315018315018315,0,0,1,0,1,0,0,0,1,1.0
63,300,7.0,0.6363636363636364,3.0,2.0,-0.16534914361001318,9.73451910408432,0.9308300395256914,-5.071805006587617,1.961133069828719,0.04743083003952564,1.36231884057971,0,0,0,0,0,0,0,1,0,1.0
64,97,7.0,0.6363636363636364,2.0,0.0,-0.10474308300395258,90.24967061923584,-7.766139657444006,-27.34453227931489,1.8096179183135703,0.47167325428194995,-1.849802371541502,0,0,0,0,1,0,0,0,0,1.0
66,281,11.0,0.6363636363636364,2.0,2.0,-0.046716003700277536,68.18455134135061,-1.5101757631822395,-10.96993524514339,-0.9782608695652186,0.5735430157261794,0.27012025901942627,0,0,0,0,1,0,0,0,0,1.0
67,184,5.0,0.6363636363636364,2.0,2.0,-0.15120772946859903,30.651690821256032,-5.911594202898552,-16.920289855072465,-8.222705314009662,1.000966183574879,1.9845410628019322,0,0,0,0,0,0,0,1,0,0.0
68,177,8.0,0.6363636363636364,1.0,0.0,-0.1331521739130435,44.33016304347826,-6.634510869565219,-22.555706521739133,-4.790760869565219,1.0815217391304348,-1.1480978260869565,0,0,0,0,1,0,0,0,0,1.0
69,300,8.0,0.6363636363636364,1.0,-1.0,-0.0813664596273292,49.67391304347826,2.6788819875776397,-1.4155279503105618,9.25031055900621,0.013664596273291973,-0.0757763975155279,0,0,0,0,0,0,0,1,0,0.0
70,54,6.0,0.6363636363636364,1.0,1.0,-0.03940217391304349,25.580163043478258,-4.384510869565219,-14.274456521739133,2.2092391304347814,-0.04347826086956519,0.9456521739130435,0,0,0,0,1,0,0,1,0,1.0
71,112,4.0,0.6363636363636364,0.0,1.0,-0.08454106280193238,30.34057971014493,-4.478260869565219,-9.031400966183575,-2.9227053140096615,1.067632850241546,-1.6932367149758454,0,0,0,0,1,0,0,1,0,0.0
72,300,6.0,0.6363636363636364,-2.0,-4.0,-0.10041407867494825,-17.849896480331267,-4.835403726708076,-7.110766045548658,-5.502070393374744,-0.1863354037267081,-0.3519668737060042,0,0,0,0,0,0,0,0,0,1.0
73,300,2.0,0.6363636363636364,2.0,4.0,-0.06521739130434784,-19.021739130434785,1.8478260869565197,16.543478260869563,-0.6304347826086953,-0.9130434782608695,-0.8260869565217392,0,0,0,0,0,0,0,1,0,1.0
74,245,7.0,0.25,3.0,1.0,-0.053030303030303025,27.768939393939394,-2.549242424242422,-2.0265151515151487,1.8143939393939377,0.8825757575757575,-0.16666666666666696,0,0,0,0,0,0,0,1,0,0.0
75,140,6.0,0.25,-1.0,0.0,-0.024509803921568624,13.825980392156861,-0.28186274509803866,-2.0710784313725483,2.8161764705882355,1.2622549019607845,-1.0686274509803924,0,0,0,0,0,0,0,1,0,0.0
76,300,9.0,0.25,2.0,0.0,-0.013157894736842105,23.041666666666668,7.80482456140351,14.107456140350877,10.138157894736842,0.6864035087719298,1.0789473684210527,0,0,0,0,0,0,0,1,0,0.0
77,300,9.0,0.25,2.0,2.0,-0.03205128205128205,70.86217948717949,-9.58653846153846,-12.157051282051281,-4.483974358974358,2.125,-0.8333333333333335,0,0,0,0,0,0,0,1,0,0.0
78,300,3.0,0.25,3.0,-1.0,0.13095238095238093,-10.113095238095239,9.291666666666668,9.49404761904762,8.517857142857142,-0.0654761904761905,4.666666666666666,0,0,0,0,0,0,0,1,0,1.0
79,18,13.0,0.25,0.0,-1.0,-0.027777777777777776,56.578703703703695,-4.958333333333332,-6.541666666666664,0.46759259259259167,1.5601851851851853,-0.8981481481481484,0,0,0,0,0,0,1,0,0,0.0
80,300,3.0,0.25,4.0,0.0,0.07666666666666667,1.7883333333333304,-4.218333333333334,-0.5016666666666652,-0.245000000000001,0.7916666666666666,-2.7133333333333334,0,0,0,0,0,0,0,0,0,0.0
81,86,1.0,0.25,0.0,0.0,0.1388888888888889,45.04166666666666,-11.013888888888888,-23.763888888888886,-9.125,1.5694444444444444,-1.9444444444444446,0,0,0,0,0,0,0,1,0,1.0
82,44,7.0,0.5714285714285714,2.0,2.0,-0.06060606060606061,26.424242424242426,4.136363636363637,8.833333333333332,5.575757575757574,0.6818181818181817,2.3030303030303028,0,0,0,0,1,0,0,1,1,1.0
