,outcome,time,fights_f1,fights_f2,win_proportion_f1,win_proportion_f2,height_x,reach_x,height_y,reach_y,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,round_2,round_3,round_4,round_5,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
3427,1.0,157,5.0,2.0,0.2,0.5,67.0,68.0,65.0,66.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3428,0.0,300,2.0,2.0,0.5,0.5,63.0,63.0,65.0,66.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3429,1.0,300,5.0,3.0,0.8,0.6666666666666666,68.0,72.0,72.0,72.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3430,0.0,300,1.0,3.0,1.0,0.6666666666666666,71.0,71.0,72.0,72.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3431,1.0,300,6.0,3.0,0.16666666666666666,0.6666666666666666,68.0,73.0,72.0,72.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3432,0.0,197,17.0,4.0,0.29411764705882354,0.25,65.0,66.0,66.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3433,0.0,33,6.0,4.0,0.5,0.25,64.0,68.0,66.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3434,0.0,300,12.0,4.0,0.25,0.25,63.0,66.0,66.0,67.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3435,1.0,300,17.0,4.0,0.29411764705882354,0.25,65.0,66.0,66.0,67.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3436,1.0,55,10.0,3.0,0.1,0.3333333333333333,70.0,74.0,69.0,73.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3437,0.0,300,7.0,3.0,0.42857142857142855,0.3333333333333333,68.0,68.0,69.0,73.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3438,0.0,300,8.0,3.0,0.625,0.3333333333333333,69.0,71.0,69.0,73.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3439,0.0,148,4.0,2.0,0.25,0.5,77.0,80.0,75.0,76.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3440,1.0,153,2.0,2.0,0.0,0.5,73.0,78.0,75.0,76.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3441,1.0,300,17.0,7.0,0.17647058823529413,0.5714285714285714,64.0,65.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3442,0.0,300,3.0,7.0,0.3333333333333333,0.5714285714285714,64.0,64.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3443,1.0,300,13.0,7.0,0.38461538461538464,0.5714285714285714,65.0,67.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3444,1.0,300,17.0,7.0,0.17647058823529413,0.5714285714285714,64.0,65.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3445,0.0,300,4.0,7.0,0.75,0.5714285714285714,67.0,66.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3446,1.0,300,9.0,7.0,0.3333333333333333,0.5714285714285714,66.0,66.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3448,1.0,300,14.0,1.0,0.35714285714285715,1.0,66.0,66.0,68.0,72.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3449,0.0,300,8.0,7.0,0.375,0.42857142857142855,70.0,73.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
