,first,last,nickname,fighter_id
130,Tatsuya,Ando,,17615148dd4be6f6
131,Alex,Andrade,El Toro,1562b12763cc8d67
132,Jessica,Andrade,Bate Estaca,6a1901c62ab3870f
133,Viscardi,Andrade,,d221ee27afc7a60e
134,Jermaine,Andre,,9bad58fa651d6196
135,Juan,Andres Luna,,1fd9f744105024a8
136,Fellipe,Andrew,,7977fb0fd9c5955d
137,Dylan,Andrews,The Villain,00debc804e2b1cd4
138,Reese,Andy,Riptide,46e2ca71fd5089cb
139,,Angga,The Hitman,d6a3e131ad4ba064
140,Julius,Anglickas,,e20ad078a7d63361
141,Collin,Anglin,,047a91d3d9c79b05
142,Chad,Anheliger,The Monster,c7c39e2fb70248b3
143,Yoji,Anjo,Mr. 200%,e06fd1260ac865a7
144,Magomed,Ankalaev,,d802174b0c0c1f4e
145,Gadzhimurad,Antigulov,,af997f7611673880
146,Adam,Antolin,Captain Chaos,25b31165758402dd
147,Angelo,Antonio,,dbd198f780286aca
148,Azunna,Anyanwu,Zulu,78d48d3874dacafd
149,Shinsho,Anzai,Animal,4665f9f909cd7214
150,Shinya,Aoki,Tobikan Judan,79ded75550efc139
151,,Aoriqileng,The Mongolian Murderer,7d420039bbfe7c1a
152,Josh,Appelt,,0c1a04afca64e38f
153,Erik,Apple,,1ccff7f0cfdf85eb
154,Kenji,Arai,,269d103c96a4c3a5
155,Romie,Aram,,73ef22f25d0f70e2
156,Felipe,Arantes,Sertanejo,71002dbc1743b9a7
157,Igor,Araujo,,dbea8c1cb327ab3d
158,Viviane,Araujo,Vivi,36541f1e6c5d4955
159,Julio,Arce,,1291edf2d566a71a
160,Art,Arciniega,King Arthur,d25e39e74efb0a77
161,Tristan,Arenal,,9c9455912d917e4e
162,Gabriel,Arges,,db3c4a884d704efe
163,Dan,Argueta,The Determined,e4ba58725825412d
164,Reza,Arianto,The Crazy Lion,90063913321e7670
165,Hashem,Arkhagha,,9a7ffa80766caa51
166,Andrei,Arlovski,The Pitbull,3738e68d2261e60f
167,Garrett,Armfield,,1effd880e1f1bb30
168,Joey,Armstrong,,30ad2050273d016a
169,Austin,Arnett,,bf0e700106d00e55
170,Ricardo,Arona,The Brazilian Tiger,05fbfe628658c538
171,Eli,Aronov,The Israeli Tank,a90c200c3fbb22c4
172,Chalid,Arrab,Die Faust,770b9d4813c25902
173,Akbarh,Arreola,El Caballero,c136b2a8852da5bd
174,Matt,Arroyo,No Regard,de62052b2ede65ba
175,Antonio,Arroyo,,61fb8098ccf81c7f
176,Gilles,Arsene,,2dea80c069847321
177,Veta,Arteaga,,91e3388e69060e69
178,Cesar,Arzamendia,Goku,49f78022126bf4a4
179,Teddy,Ash,Bear,a373085066dbfb54
180,Arman,Ashimov,Mustafa Ozturik,d26a0988c9dc9886
181,Yanal,Ashmouz,Red Fox,c739c2995a275314
182,,Asjabharan,,8be9deb7d6b36354
183,Askar,Askar,AK-47,2abc414136504554
184,Askar,Askarov,Bullet,b1d19449397541dc
185,Cyril,Asker,Silverback,9be6020024133293
186,Khusein,Askhabov,Nohcho,5c10da56d712ac9c
187,Scott,Askham,,06827d70c53ff0d9
188,Ben,Askren,Funky,0b31f87be71ebbb1
189,Ibo,Aslan,The Last Ottoman,6e8f1bcdda94ff45
190,Tom,Aspinall,,399afbabc02376b5
191,Bruno,Assis,Brunao,ff222167cce02919
192,Junior,Assuncao,,d0d7160824278840
193,Raphael,Assuncao,,2f13e4020cea5b38
194,Bazigit,Atajev,Volk,fd7acf42bd6e7e95
195,Rich,Attonito,The Raging Bull,210935fd21670f6d
196,Olivier,Aubin-Mercier,The Canadian Gangster,55ee431411ccf07a
197,Pat,Audinwood,Awesomely Awesome,196ed28337adc630
198,Jose,Augusto,Gugu,4d3b08ab127c7585
199,Marcus,Aurelio,Maximus,04643fd03d9159cc
200,David,Avellan,,956dcac65e7b34d6
201,Blas,Avena,The Disciple,8753e125f4499816
202,Levi,Avera,,ba5c6eeb8ef45f5c
203,Anthony,Avila,,033d19259f589457
204,Chris,Avila,,4665cbf36b08193b
205,Julia,Avila,Raging Panda,86d9dbe1bfcbade7
206,Saad,Awad,Assassin,da603332ad41f165
207,Javy,Ayala,Eye Candy,26387c19f32dda0f
208,Jessin,Ayari,,6eaec40f724852f4
209,Abu,Azaitar,Captain Morocco,46d0a888d87d91ac
210,Ottman,Azaitar,Bulldozer,ee18ff42063174df
211,Luiz,Azeredo,,063649e21bc9d6d5
212,Luciano,Azevedo,,9bcfb40dbcd50568
213,Hunter,Azure,,2af2f2e26c4c0402
214,Niklas,Backstrom,,39cc64bf0a269db9
215,Seth,Baczynski,The Polish Pistola,fd5b6598a3b70c0a
216,Abdul Azeem,Badakhshi,The Afghan Lion,968764372c49eab6
217,Ryan,Bader,Darth,c0ab242c40decc55
218,Izabela,Badurek,,4fcf6e0c4e0e6664
219,Miguel,Baeza,Caramel Thunder,82d4c957649faf9b
220,Ali,Bagautinov,Puncher,3dd92ff9fb0412b3
221,Mehdi,Baghdad,The Sultan,e4d2564ea0e34e2b
222,Melsik,Baghdasaryan,The Gun,a52bc1e62cf0b7c6
223,Siyar,Bahadurzada,The Great,aec185309b4843d0
224,Ignacio,Bahamondes,La Jaula,e4a47b07044ddd72
225,Bahatebole,Batebolati,Lion King,8f313e9c3a39c06e
226,Shamar,Bailey,,e2b8186b618b00c4
227,Jordan,Bailey,,34dbcd4dbaf21a36
228,Scott,Baker,,7d5b12de1625984e
229,Bryan,Baker,The Beast,898337ef520fe4d3
230,Jin,Bala,,371efa53bd0cf669
231,,Balajin,The Snow Leopard,e626e92a8f2a9737
232,Oluwale,Bamgbose,Holy War Angel,04b39f4e8eb59d7c
233,Stephen,Banaszak,,4c4b44e3cf5815b3
234,Marcin,Bandel,Bomba,5c2ce761399dc9c5
235,Humberto,Bandenay,,2c2caf2f2bab9df5
236,Tae Hyun,Bang,Supernatural,9a2d3567abc02e34
237,Yohan,Banks,,c50ea21fe9ef478d
238,Shauna,Bannon,Mama B,9c442aaf149ea982
239,Antonio,Banuelos,,9ddfb3369a3b0394
240,Renan,Barao,The Baron,2c99576fefe53c7c
241,Junior,Barata,,06dced58ca24a6bd
242,Maycee,Barber,The Future,6a740daf1b279661
243,Bryan,Barberena,Bam Bam,a331233f597090a5
244,Dione,Barbosa,The Witch,27b388f0aab49780
245,Edson,Barboza,Junior,64a50dad704d1d49
246,Raoni,Barcelos,,b9f28e7045fdfce7
247,Daniel,Barez,,e8fe9c15d348e778
248,Danny,Barlow,LeftHand2God,b7c5eb7cdbac6a63
249,Luke,Barnatt,The Bigslow,172c2135e70f87b7
250,James,Barnes,Mooka,c06a5c95f1169c0b
251,Nick,Barnes,,78a5eea49638685d
252,Shonte,Barnes,Shyne,e575b6ff678c1aca
253,Josh,Barnett,The Warmaster,ad3f53c454cbbead
254,Chris,Barnett,Beastboy,7a5e8c94a86f9895
255,Chris,Barnhizer,,91e69a1c3c87325b
256,David,Baron,,80c0bed43da0e27b
257,Phil,Baroni,The New York Bad Ass,1652f3213655b935
258,Dan,Barrera,The Fireman,f12f979b657ab876
259,Carlos,Barreto,,a220be6d41d6f97d
260,Jose,Barreto,,c32eab6c2119e989
261,Peter,Barrett,Slippery,d21113c9ff3788ae
262,Marc-Andre,Barriault,Powerbar,8e9eb3fc86db0f7d
263,David,Barrios,,e6015889f50075d2
264,Alexandre,Barros,Baixinho,8fd1f27e86661ede
265,Ricardo,Barros,,d26394fc0e8e880a
266,Francimar,Barroso,Bodao,b69f24c500d783e7
267,Pat,Barry,HD,658c3465581ae46b
268,Dean,Barry,The Sniper,a6f3d15cb84334bb
269,Enrique,Barzola,El Fuerte,be0b310a12eb80b4
270,Javid,Basharat,The Snow Leopard,bbab3baf66128ae2
271,Farid,Basharat,Ferocious,a09ed60aa67a3f67
272,Stephen,Bass,Bigfish,1cecc8fe6748a532
273,Sean,Bassett,,2c733e059462c1dc
274,Ryan,Bastianelli,Relentless,29508aff4d93cbbe
275,Shayna,Baszler,The Queen of Spades,8ef4a91ac694b7ce
276,Michel,Batista,,34218661c44ed55d
277,Bryan,Battle,Pooh Bear,f626118b6da0e020
278,Alan,Baudot,The Black Samourai,c9a94278df042f46
279,Mario,Bautista,,bc711b6dd95c1af6
280,Chris,Beal,Real Deal,55f446032177b119
281,Donovan,Beard,The Highlight Reel,3a6ac598320ca7f2
282,Rudy,Bears,,74f13066b1417ef3
283,Salvador,Becerra,,4fd76e7ba8313457
284,Ariel,Beck,,b96939f2b8d88e82
285,Jeff,Bedard,Little Popeye,93bf96be327fcd98
286,Eric,Bedard,Lucky Strikes,ce05955c26c3c090
287,Johnny,Bedford,Brutal,ffc3e6daaa6da0b7
288,Rolando,Bedoya,The Machine,40a456a25d52ee65
289,Chase,Beebe,,b16a7e6a627e9789
290,Lyle,Beerbohm,Fancy Pants,babc6b5745335f18
291,Allan,Begosso,Mini,d6ed764f8b78d32a
292,Mirsad,Bektic,,cbd3e590a85b18c5
293,Diana,Belbita,The Warrior Princess,d7e40dca3ae125be
294,Alan,Belcher,The Talent,4130a743d9d22163
295,Vitor,Belfort,The Phenom,0ee783aa00e468f0
296,Yousri,Belgaroui,Baby Face Assassin,7674b836ce0698a0
297,Rodolfo,Bellato,Trator,69898645d600abdb
298,Danilo,Belluardo,Caterpillar,c3f6db17cea09ca7
299,Joey,Beltran,The Mexicutioner,46baf0f57edfa4df
300,Marco,Beltran,Psycho,ec71a892fada28c7
301,Joseph,Benavidez,,80eacd4da0617c57
302,Mike,Bencic,Batman,a71feb7ea7592a71
303,Dave,Beneteau,Dangerous,9fd1f08dd4aec14a
304,Karla,Benitez,,6104730621ff318d
305,Gabriel,Benitez,Moggly,436f970c9ea9169c
306,Charles,Bennett,Krazy Horse,8dc4f34c1f50d00d
307,Josh,Bennett,,c3ac8d0da7b05772
308,DeAnna,Bennett,The Argentine Assassin,404ecb2700844072
309,Lance,Benoist,,5431dccc09118234
310,Joe,Benoit,,a30f6d375dea5f9b
311,Ryan,Benoit,Baby Face,20999e27ddd94bda
312,Pat,Benson,,a25f3dc0df974597
313,Len,Bentley,,592d23aed850e652
314,Steve,Berger,The Red Nosed Pitbull,21b1132949f2a9b0
315,Kenneth,Bergh,,aa8189053b3a8994
316,Bret,Bergmark,The Angry Hick,2891c9f7b26b26fc
317,Keith,Berish,Sha Bang Bang,e3779ef06e98f185
318,Dennis,Bermudez,The Menace,6f242453c91a5af0
319,Manny,Bermudez,The Bermudez Triangle,2dc1bc1a02961656
320,Talita,Bernardo,,5b2325cd70dbe2ea
321,Dave,Berry,,b3bbe88fecd6a0d2
322,Keith,Berry,,0b935b9bbbe5fc07
323,Dieusel,Berto,,0db70ca89e1c7374
324,Edson,Berto,Little Tiger,66766984842c13dc
325,Allen,Berube,Monstah Lobstah,aebfb84d1f6d2d8c
326,Anton,Berzin,The Body Snatcher,8ba8e8d7eafa7267
327,Scott,Bessac,,3f24c96753dbd9f9
328,Matt,Bessette,The Mangler,0b8d512c79b4baf3
329,Khadzhi,Bestaev,Best,e05f4ce199baca91
330,Fernando,Bettega,,a524710c3ef918fa
331,Arjan,Bhullar,,7e511f8d842a109d
332,KB,Bhullar,The Bengal,9cd047a828dd7515
333,Bibulatov,Magomed,Chaborz,87f19d19f4cb73f8
334,David,Bielkheden,,1efa064872f089d0
335,Blake,Bilder,El Animal,5095b0920a3602aa
336,Jonas,Bilharinho,,ebbf571f349e79d9
337,Jeremiah,Billington,,b3b6e80b7d5f8f0d
338,Scott,Bills,,53f02bbc41d99432
339,Anthony,Birchak,El Toro,c5a126ace82a6025
340,Chris,Birchler,The Big Buck,8a22c6b4d29880a3
341,Michael,Bisping,The Count,2b93ebd9f5417ad2
342,Amaury,Bitetti,,7a359ef685a304a7
343,Caio,Bittencourt,Leao,a653cb5eb4b39339
344,Davi,Bittencourt,The Black,dd6ec6f941c3a414
345,Simon,Biyong,,27ab7257bf6a3b65
346,Jan,Blachowicz,,99df7d0a2a08a8a8
347,Jason,Black,The Black Legion,b2f743746e8dcfa2
348,Brad,Blackburn,Bad Brad,7e69a4b0961aa555
349,Jason,Blackford,,619d807fa54ae8f7
350,Tom,Blackledge,,2adb11835acd815b
351,Sherrard,Blackledge,The Thriller,0e5c79b3594ff0ad
352,Da'Mon,Blackshear,The Monster,da22387a0407a2dc
353,Erin,Blanchfield,Cold Blooded,669970f7feba8ecd
354,Maximo,Blanco,Maxi,4a1329cc8eb0928a
355,David,Blanco,,ebf298f8ac7e232b
356,Curtis,Blaydes,Razor,fa6796c55d6c5440
357,Tereza,Bleda,,59c438c81fbf3ece
358,Arlene,Blencowe,Angerfist,35d6337320a4ae48
359,Byron,Bloodworth,,ecdf14f4f8643d39
360,Dashawn,Boatwright,"Buck, the 400-pound Silverback",046a85108610c0d2
361,Dan,Bobish,,f348d05403fad037
362,Mark,Bocek,,cf9d24e4bd0cf2ce
363,Kyle,Bochniak,Killer B,c5af5750e8bae4f0
364,James,Bochnovic,,984d15d5dc7bfcf9
365,Jeremy,Boczulak,,1afd74f8cb0719f3
366,Tim,Boetsch,The Barbarian,c80095f6092271a7
367,Galore,Bofando,,8a56ea383fd26e52
368,Jay,Bogan,,53c21779d84ceb75
369,Roman,Bogatov,,d61316139d68dbe3
370,Derek,Bohi,Marshmallow,70a1c7626b5e0599
371,Jerry,Bohlander,,93892752c5fc23ca
372,Mandy,Bohm,Monster,297a2b35444c245b
373,Kotetsu,Boku,,d227958e8a0c1466
374,Gaston,Bolanos,The Dreamkiller,96924b0019b3aff1
375,Kyle,Bolt,,9d455d5cfe6a0e35
376,Denys,Bondar,Psycho,2526be54e6a0e62a
377,Luc,Bondole,,8691881b31c16b88
378,Tony,Bonello,The Gun,702a72aa7a266d86
379,Gabriel,Bonfim,Marretinha,01641ba5df0c69b0
380,Ismael,Bonfim,Marreta,eb393afdbe3293d5
381,Jesse,Bongfeldt,Water,934de214814b8ff4
382,Marcos,Bonilla,Murder Marx,d311fbefff44a39b
383,Stephan,Bonnar,The American Psycho,c6a33ff198aaaeeb
384,Rogerio,Bontorin,,07a2bdaa0afdd831
385,Ray,Borg,The Tazmexican Devil,a4de54ea806fb525
386,Igor,Borisov,,0313bf497de9c470
387,Kevin,Borjas,El Gallo Negro,34b96d52db1d26e6
388,Calen,Born,,3c85e04b08a05751
389,Caio,Borralho,The Natural,4126a78111c0855a
390,Zachary,Borrego,The Dragon,b8fdb2903a2582a8
391,Viacheslav,Borshchev,Slava Claus,19c591115a58982c
392,Tanner,Boser,The Bulldozer,04c8b08b16a5b99e
393,Steve,Bosse,The Boss,e023fa2e648ea0f1
394,Marcus,Bossett,The Grasshopper,e8fb8e53bc2e29d6
395,Chris,Bostick,,239224bedeb2c7a4
396,Poliana,Botelho,,5c126c6aac3ef364
397,Francois,Botha,White Buffalo,545d549d6bf87187
398,Gregory,Bouchelaghem,,59851163aaf1aed8
399,Roy,Boughton,Black Dynamite,2aaf0181432adf0b
400,Rich,Bouphanouvong,,611b9c068c9e2c44
401,Mike,Bourke,The Rhino,dfdd0c5dd0d4bc23
402,Jess,Bouscal,,38b1417ec17072da
403,Tai,Bowden,,2efbc83a6b9b7f86
404,Melton,Bowen,The Punisher,81ca2c245b19b3c5
405,Kyron,Bowen,Bullseye,5488b3c67600333a
406,Brian,Bowles,,b26d3e3746fb4024
407,Roger,Bowling,Relentless,3b9f723e2720a238
408,Blake,Bowman,,a95a0504fd73bd3e
409,Ashe,Bowman,The Archer,8a0a35e7c74bebcc
410,Anvar,Boynazarov,The Uzbek,4a191f4ea2fce7fc
411,Colley ,Bradford,,1433786ac76cf777
412,Kyle,Bradley,,a6959da32f0e6b5d
413,Paul,Bradley,The Gentleman,c7011de4765d2497
414,Sean,Brady,,45f7cb591c3ab00b
415,Ebenezer Fontes,Braga,Pitbull,dc950d59dc590aca
416,Ramiz,Brahimaj,,3d074044a33825e7
417,Joe,Brammer,The South Side Strangler,013da757877044a2
418,David,Branch,,d2c55d1d2e67773b
419,Diego,Brandao,DB,c2e3e67b5911bfb7
420,Bruna,Brasil,,7138a15258dabf20
421,Michael,Bravo,,dc63542668295c23
422,Martin,Bravo,El Toro,9c44f290f5726d95
423,Roman,Bravo-Young,,37ce890a4670b287
424,Mike,Breeden,Money,d80ee110748171ac
425,Tom,Breese,,1588b787bda7b540
426,Elves,Brener,,48a9a128784d53d1
427,Chris,Brennan,The Westside Strangler,b19fc66613dc75b9
428,Charlie,Brenneman,The Spaniard,98f6da59d765ec94
429,Robert,Breslin,The Bullet,e319d6697d41f3cf
430,Mack,Brewer,,106a925d947a0de9
431,Marcos,Brigagao,Ironside,11547e29f253fb89
432,Jason,Brilz,Hitman,497ba5b12a4bfc47
433,Marcus,Brimage,The Bama Beast,81801f57bd0a7c41
434,Aaron,Brink,,cf1a88371c8cb690
435,Henry,Briones,Bure,01fcef7e3d051722
436,Marcelo,Brito,Jungle Boy,3a97fda0de6f1fa4
437,Joanderson,Brito,Tubarao,791c8437b341fba5
438,Kaik,Brito,,b07f14fc0e53f8bd
439,Antwain,Britt,The Juggernaut,2833f50b20e96e52
440,Drew,Brokenshire,,aa571d75f80fde7d
441,Mike,Bronzoulis,The Greek,df3c39573d01f55b
442,Jonathan,Brookins,,b0a6124751a56bc4
443,Will,Brooks,Ill,b6e6c3b1dcaae0a1
444,Jarred,Brooks,The Monkey God,81d9df19e255b8b6
445,Rob,Broughton,The Bear,a7d687e6ecb30981
446,Lee,Brousseau,Manimal,0974d8d4053a7237
447,Matt,Brown,The Immortal,31123249b0bbf52e
448,Mike,Brown,,e0b74df14f52cd15
449,Dominic,Brown,,52b3ec072ad497a4
450,Todd,Brown,Bulldog,9b68bf67c5695185
451,Terrell,Brown,,85df85a4e276c90e
452,Chris,Brown,,9e2624ac992660c6
453,Frederick,Brown,,880c6b788266a3ef
454,Randy,Brown,Rudeboy,c6aee362c7a7d482
455,Damien,Brown,Beatdown,d024ed963e8bf7ea
456,TJ,Brown,Downtown,d31cbcdd7d69536d
457,Humberto,Brown Morrison,,e9e7e1c8ff289e1b
458,Travis,Browne,Hapa,3236bf606fe9fa5b
459,Junie,Browning,,d74cba8566291bfa
460,Jules,Bruchez,,d1dcd4e96464a53d
461,Justin,Bruckmann,Loaf,5f8e00c27b7e7410
462,Cody,Brundage,,f14f644d41ade29f
463,Steve,Bruno,Hollywood,2f3f12002564bb55
464,Fernando,Bruno,Acougueiro,b8c0f30ee9a98b69
465,Derek,Brunson,The One,b1a3e0aca758b322
466,Josh,Bryant,The Beast,01f022fa494188e2
467,Dennis,Bryant,The Beard,3b17353b8002c7d0
468,Robert,Bryczek,,f96856f9d69fd7e4
469,Lukasz,Brzeski,The Bull,0c25d0a5e8cdbf19
470,Justin,Buchholz,,231926533134ec1f
471,Zak,Bucia,,6bbb8dc6e128779e
472,Courtney,Buck,,3feed7d02711d8b7
473,Joaquin,Buckley,New Mansa,b9437600497350f3
474,Martin,Buday,Badys,8eb046f83e82bf26
475,Julia,Budd,,dcdc4503b9d49977
476,Dylan,Budka,The Mindless Hulk,a817e238b2747404
477,Mike,Budnik,,b98209144b63ae26
478,Francisco,Bueno,,a72d260b436924c4
479,Mayra,Bueno Silva,Sheetara,cc8c623cca88f54f
480,Paul,Buentello,The Headhunter,f0abbb6f3444dae7
481,Modestas,Bukauskas,The Baltic Gladiator,476fe566d2df676e
482,Lee Kwan,Bum,,c0342805a1948cbb
483,Josh,Bumgarner,,9900ab86a4c458bd
484,Shawn,Bunch,Bunch the Great,6e9af164ab91a229
485,Felipe,Bunes,Felipinho,53c10176e3bc7416
486,Shane,Burgos,Hurricane,98d961097baaf308
487,Joshua,Burkman,The People's Warrior,6da99156486ed6c2
488,Justin,Burlinson,,dadd80ef954e54ed
489,Mads,Burnell,,69f01b25dfabaf6b
490,Mikey,Burnett,The Eastside Assassin,4c805f5f58a75df0
491,Kevin,Burns,The Fire,a6d8bfe9e0c8153b
492,Gilbert,Burns,Durinho,23024fdfc966410a
493,Josh,Burns,The Hammer,1e092415a7eeaf65
494,Herbert,Burns,The Blaze,4f140403000158b5
495,Derrick,Burnsed,,2213330f082f82d5
496,Nah-Shon,Burrell,The Rock n Rolla,2c64c035485906aa
497,Martin,Buschkamp,,8fc30d8cebb17116
498,George,Bush,,f0c779dc2ca3816c
499,Bubba,Bush,The Fightin' Texas Aggie,132505067f08c54d
500,Dakota,Bush,,3033c1c080672475
501,Murilo,Bustamante,,85d905f7c4f5a1af
502,Nick,Bustamante,,51b1ca2a4b064101
503,Eduardo,Bustillos,,f273f1b8df04c8a1
504,Jason,Butcher,,30e39145fec48d25
505,Todd,Butler,,3fed746acfd026dd
