fighter,W,L,fights
Brandon Jenkins,2,0,2
Brandon Moreno,1,3,4
Brandon Royval,2,2,4
Brandon Thatch,2,2,4
Brandon Vera,2,0,2
Brendan Allen,0,5,5
Brendan O'Reilly,2,1,3
Brendan Schaub,3,1,4
Brendon Marotte,1,0,1
Brett Johns,2,1,3
Brian Bowles,1,0,1
Brian Camozzi,3,0,3
Brian Ebersole,0,3,3
Brian Foster,1,1,2
Brian Houston,2,0,2
Brian Kelleher,4,4,8
Brian Melancon,1,1,2
Brian Ortega,0,4,4
Brian Stann,4,1,5
Brianna Van Buren,1,1,2
Bristol Marunde,1,0,1
Brock Jardine,2,0,2
Brogan Walker,1,0,1
Brok Weaver,1,0,1
Bruna Brasil,0,1,1
Brunno Ferreira,0,2,2
Bruno Santos,1,1,2
Bruno Silva,2,5,7
Bruno Souza,2,0,2
Bryan Barberena,5,6,11
Bryan Battle,0,1,1
Bryan Caraway,3,3,6
Bryce Mitchell,1,2,3
Buddy Roberts,1,0,1
Byron Bloodworth,2,0,2
CB Dollaway,4,5,9
CJ Keith,2,0,2
CJ Vergara,1,1,2
Cain Carrizosa,2,0,2
Cain Velasquez,1,0,1
Caio Borralho,0,1,1
Caio Machado,1,0,1
Caio Magalhaes,3,1,4
Calvin Kattar,3,3,6
Cameron Else,2,0,2
Cameron Saaiman,1,1,2
Cameron VanCamp,2,0,2
Caolan Loughran,1,0,1
Carl Deaton,2,0,2
Carla Esparza,1,2,3
Carlo Pedersoli Jr.,2,1,3
Carlo Prater,2,1,3
Carlos Candelario,1,0,1
Carlos Condit,1,1,2
Carlos Eduardo Rocha,2,1,3
Carlos Felipe,1,1,2
Carlos Her0dez,2,1,3
Carlos Huachin,2,0,2
Carlos Mota,1,0,1
Carlos Ulberg,1,0,1
Carls John De Tomas,1,0,1
Carlston Harris,1,3,4
Caros Fodor,1,0,1
Casey Kenney,2,2,4
Casey O'Neill,1,3,4
Cat Zingano,0,1,1
Cathal Pendred,0,1,1
Cezar Ferreira,3,2,5
Chad Griggs,2,0,2
Chad Laprise,2,0,2
Chad Mendes,1,1,2
Chael Sonnen,1,1,2
Chan Sung Jung,1,4,5
Chan-Mi Jeon,2,0,2
Chance Rencountre,2,2,4
Charles Byrd,1,1,2
Charles Johnson,2,1,3
Charles Jourdain,3,4,7
Charles Oliveira,7,11,18
Charles Radtke,0,2,2
Charles Rosa,6,0,6
Charlie Brenneman,6,0,6
Charlie Campbell,0,1,1
Charlie Ontiveros,3,0,3
Charlie Valencia,1,0,1
Chas Skelly,2,2,4
Chase Gormley,1,0,1
Chase Hooper,1,0,1
Chase Sherman,8,2,10
Che Mills,1,1,2
Cheick Kongo,2,0,2
Chepe Mariscal,0,2,2
Chico Camus,3,2,5
Chris Avila,2,0,2
Chris Barnett,1,2,3
Chris Beal,2,0,2
Chris Camozzi,6,3,9
Chris Cariaso,2,3,5
Chris Clements,1,2,3
Chris Cope,1,1,2
Chris Curtis,1,2,3
Chris Daukaus,4,2,6
Chris Dempsey,2,1,3
Chris Fishgold,3,1,4
Chris Gruetzemacher,2,1,3
Chris Gutierrez,3,3,6
Chris Heatherly,2,0,2
Chris Indich,1,0,1
Chris Kelades,2,1,3
Chris Leben,0,1,1
Chris Lytle,1,2,3
Chris Saunders,1,0,1
Chris Tickle,1,0,1
Chris Tuchscherer,2,0,2
Chris Wade,1,2,3
Chris Weidman,2,6,8
Chris de la Rocha,1,1,2
Christian Aguilera,1,1,2
Christian Colombo,2,0,2
Christian Leroy Duncan,1,0,1
Christian Morecraft,2,1,3
Christian Rodriguez,1,1,2
Christos Giagos,6,4,10
Cindy Dandois,1,0,1
Ciryl Gane,0,2,2
Claude Patrick,0,3,3
Claudio Puelles,1,1,2
Claudio Ribeiro,1,1,2
Claudio Silva,1,2,3
Clay Collard,1,1,2
Clay Guida,4,3,7
Clay Harvison,1,0,1
Clifford Starks,1,1,2
Clint Hester,3,2,5
Cody Brundage,1,3,4
Cody Donovan,0,1,1
Cody Durden,3,1,4
Cody East,1,0,1
Cody Garbrandt,2,3,5
Cody Gibson,3,1,4
Cody McKenzie,2,1,3
Cody Pfister,3,1,4
Cody Stamann,3,4,7
Colby Covington,1,6,7
Cole Escovedo,2,0,2
Cole Miller,2,1,3
Cole Smith,0,1,1
Cole Williams,1,0,1
Colin Fletcher,1,0,1
Collin Anglin,1,0,1
Collin Hart,1,0,1
Conor McGregor,2,3,5
Constantinos Philippou,2,4,6
Corey Anderson,3,4,7
Cortney Casey,6,2,8
Cory McKenna,0,2,2
Cory Sandhagen,1,5,6
Court McGee,2,1,3
Craig White,2,0,2
Cristian Quinonez,1,1,2
Cristina Stanciu,2,0,2
Cub Swanson,3,1,4
Cung Le,2,1,3
Curt Warburton,2,1,3
Curtis Blaydes,2,5,7
Curtis Millender,1,1,2
Cynthia Calvillo,2,4,6
Cyril Asker,2,1,3
Cyrille Diabate,1,2,3
Da Woon Jung,2,0,2
Da-Un Jung,0,1,1
DaMarques Johnson,1,0,1
Daichi Abe,2,0,2
Dakota Bush,1,0,1
Dalcha Lungiambula,3,0,3
Damacio Page,2,0,2
Damian Grabowski,2,0,2
Damian Stasiak,1,2,3
Damien Brown,1,1,2
Damir Hadzovic,4,3,7
Damir Ismagulov,1,2,3
Damon Jackson,4,2,6
Dan Argueta,1,0,1
Dan Hardy,1,0,1
Dan Henderson,5,3,8
Dan Hooker,6,6,12
Dan Ige,4,3,7
Dan Lauzon,2,0,2
Dan Miller,3,1,4
Dan Moret,3,0,3
Dan Stittgen,1,0,1
Danaa Batgerel,1,0,1
Daniel Barez,1,0,1
Daniel Cormier,0,1,1
Daniel Da Silva,1,0,1
Daniel Jolly,1,0,1
